Team,Conf.,Rec.,2ndO Wins,S&P+P,S&P+R,Rk,Off. S&P+,Rk,Def. S&P+,Rk,ST S&P+,Rk,SOS,Rk,Year
Iowa,Big Ten,7-Jun,8.2 (2.2),79.10%,13.4,31,32,27,18.4,35,-0.1,63,0.862,42,2006
Arizona State,Pac-10,6-Jul,7.4 (0.4),78.90%,13.3,32,31.7,30,19.7,42,1.3,24,0.864,45,2006
Hawaii,WAC,3-Nov,12.0 (1.0),78.40%,13.1,33,42.6,1,30,92,0.5,45,0.928,93,2006
Penn State,Big Ten,4-Sep,7.4 (-1.6),77.80%,12.7,34,24.9,56,12,9,-0.2,65,0.857,39,2006
Utah,MWC,5-Aug,8.3 (0.3),76.20%,12,35,29.8,34,19.5,41,1.7,11,0.905,74,2006
Florida State,ACC,6-Jul,7.7 (0.7),76.00%,11.9,36,25.5,50,13.9,18,0.3,52,0.877,57,2006
Notre Dame,Ind,3-Oct,8.2 (-1.8),75.30%,11.5,37,34.2,18,22.1,54,-0.6,78,0.832,16,2006
Alabama,SEC,7-Jun,6.9 (0.9),75.00%,11.4,38,28.7,38,16.5,25,-0.8,88,0.812,8,2006
Oregon State,Pac-10,4-Oct,8.2 (-1.8),74.90%,11.3,39,31,33,21,47,1.3,20,0.845,29,2006
Oregon,Pac-10,6-Jul,7.8 (0.8),74.70%,11.2,40,33.3,22,21.5,50,-0.5,75,0.827,12,2006
South Florida,Big East,4-Sep,9.0 (0.0),73.50%,10.7,41,25.4,52,12.8,14,-1.9,113,0.87,52,2006
Texas A&M,Big 12,4-Sep,7.7 (-1.3),72.20%,10.1,42,33.6,20,23.6,63,0.1,59,0.844,27,2006
UCLA,Pac-10,6-Jul,6.6 (-0.4),69.20%,8.8,43,23.4,67,15.9,23,1.3,22,0.844,25,2006
Cincinnati,Big East,5-Aug,7.1 (-0.9),67.00%,7.9,44,23.6,65,16.7,27,1,33,0.817,10,2006
Houston,C-USA,4-Oct,11.3 (1.3),66.30%,7.6,45,33.9,19,25.2,71,-1.1,93,0.934,97,2006
Washington State,Pac-10,6-Jun,6.5 (0.5),65.80%,7.4,46,28.5,40,19.2,40,-1.9,114,0.844,26,2006
Kansas,Big 12,6-Jun,6.7 (0.7),64.70%,6.9,47,27.4,42,21.6,51,1.1,29,0.905,75,2006
Wake Forest,ACC,3-Nov,7.8 (-3.2),63.50%,6.5,48,23.6,61,18.4,34,1.2,25,0.866,48,2006
Kansas State,Big 12,6-Jul,5.7 (-1.3),61.80%,5.8,49,23.9,60,19.7,43,1.6,12,0.855,34,2006
Maryland,ACC,4-Sep,6.0 (-3.0),58.70%,4.6,50,25.2,53,22.1,53,1.5,16,0.864,43,2006
Virginia,ACC,7-May,6.6 (1.6),58.60%,4.6,51,17,97,12.3,11,-0.2,66,0.886,65,2006
Purdue,Big Ten,6-Aug,7.4 (-0.6),58.10%,4.4,52,33.2,23,28.2,87,-0.6,80,0.906,76,2006
Minnesota,Big Ten,7-Jun,6.0 (0.0),56.60%,3.8,53,31.9,28,27.5,80,-0.6,79,0.831,15,2006
Tulsa,C-USA,5-Aug,8.4 (0.4),52.20%,2.1,54,27,44,25,70,0.2,56,0.936,98,2006
Vanderbilt,SEC,8-Apr,6.0 (2.0),51.40%,1.9,55,25.6,49,22.5,59,-1.3,99,0.813,9,2006
Colorado,Big 12,10-Feb,4.1 (2.1),51.10%,1.8,56,20.1,82,18.9,38,0.6,40,0.849,30,2006
Kentucky,SEC,5-Aug,5.6 (-2.4),51.00%,1.7,57,33.3,21,30.8,96,-0.8,89,0.79,4,2006
Nevada,WAC,5-Aug,8.3 (0.3),48.80%,0.9,58,25.4,51,23.8,65,-0.8,87,0.924,88,2006
Washington,Pac-10,7-May,4.4 (-0.6),47.40%,0.3,59,23.3,68,24.1,67,1.1,28,0.83,14,2006
Wyoming,MWC,6-Jun,7.3 (1.3),47.20%,0.3,60,18.6,91,17.7,29,-0.6,81,0.894,67,2006
NC State,ACC,9-Mar,4.2 (1.2),47.00%,0.2,61,18.7,90,19.1,39,0.6,41,0.897,68,2006
Southern Miss,C-USA,5-Sep,7.3 (-1.7),45.60%,-0.3,62,23.3,69,23.1,60,-0.5,77,0.912,80,2006
New Mexico,MWC,7-Jun,5.7 (-0.3),45.10%,-0.5,63,19.8,86,21.5,49,1.2,27,0.911,78,2006
East Carolina,C-USA,6-Jul,7.0 (0.0),44.10%,-0.9,64,23.6,62,24.3,68,-0.2,67,0.928,91,2006
Arizona,Pac-10,6-Jun,4.1 (-1.9),43.80%,-1,65,15.4,102,17.8,31,1.5,15,0.789,3,2006
Michigan State,Big Ten,8-Apr,4.4 (0.4),43.00%,-1.3,66,25,55,26.7,78,0.4,49,0.865,47,2006
San Jose State,WAC,4-Sep,8.1 (-0.9),41.60%,-1.8,67,24,59,26.1,75,0.3,51,0.948,106,2006
Navy,Ind,4-Sep,8.4 (-0.6),41.30%,-1.9,68,27,43,28.3,88,-0.7,82,0.94,100,2006
Northern Illinois,MAC,6-Jul,6.7 (-0.3),39.80%,-2.5,69,22.6,71,25.2,72,0,60,0.922,86,2006
Illinois,Big Ten,10-Feb,5.5 (3.5),39.20%,-2.8,70,20.1,83,22.3,57,-0.5,76,0.871,53,2006
Connecticut,Big East,8-Apr,4.9 (0.9),38.90%,-2.9,71,20.8,79,22.2,55,-1.5,105,0.852,31,2006
Ole Miss,SEC,8-Apr,3.3 (-0.7),38.10%,-3.2,72,20.1,81,23.7,64,0.4,50,0.827,11,2006
Baylor,Big 12,8-Apr,5.2 (1.2),37.20%,-3.6,73,22.6,73,27.8,84,1.6,13,0.836,20,2006
Syracuse,Big East,8-Apr,3.2 (-0.8),37.00%,-3.6,74,20.2,80,25.7,74,1.9,5,0.833,17,2006
Northwestern,Big Ten,8-Apr,5.0 (1.0),33.90%,-4.9,75,21.3,77,25,69,-1.2,96,0.857,38,2006
Colorado State,MWC,8-Apr,5.1 (1.1),32.60%,-5.4,76,18.9,87,23.2,61,-1.1,91,0.914,81,2006
Central Michigan,MAC,4-Oct,8.4 (-1.6),31.00%,-6.1,77,23.5,66,28.8,90,-0.7,83,0.944,102,2006
Akron,MAC,7-May,6.7 (1.7),31.00%,-6.1,78,18,93,22.3,58,-1.8,112,0.962,117,2006
UTEP,C-USA,7-May,5.1 (0.1),30.60%,-6.2,79,25.9,48,32,104,-0.2,64,0.951,108,2006
North Carolina,ACC,9-Mar,3.6 (0.6),30.60%,-6.2,80,19.8,85,27.3,79,1.2,26,0.856,35,2006
Kent State,MAC,6-Jun,6.9 (0.9),30.60%,-6.2,81,18.2,92,22.2,56,-2.3,115,0.959,113,2006
Mississippi State,SEC,9-Mar,3.9 (0.9),29.60%,-6.7,82,16.5,98,21.7,52,-1.5,106,0.796,6,2006
Iowa State,Big 12,8-Apr,3.3 (-0.7),29.40%,-6.7,83,24.7,57,31.5,99,0.1,57,0.842,23,2006
Western Michigan,MAC,5-Aug,7.2 (-0.8),28.70%,-7.1,84,14.8,105,21.4,48,-0.4,74,0.96,116,2006
Ball State,MAC,7-May,4.3 (-0.7),27.80%,-7.5,85,22.6,72,32,105,1.9,6,0.95,107,2006
SMU,C-USA,6-Jun,5.7 (-0.3),27.30%,-7.7,86,20.9,78,30.3,94,1.7,9,0.953,110,2006
Marshall,C-USA,7-May,5.2 (0.2),26.90%,-7.9,87,26.7,45,34.2,111,-0.3,70,0.918,83,2006
Fresno State,WAC,8-Apr,4.2 (0.2),26.40%,-8.1,88,21.6,75,29.4,91,-0.3,71,0.885,64,2006
Air Force,MWC,8-Apr,4.1 (0.1),24.90%,-8.8,89,24,58,31.7,102,-1.1,95,0.883,61,2006
Ohio,MAC,5-Sep,7.0 (-2.0),23.30%,-9.5,90,12.6,109,23.2,62,1.1,31,0.954,112,2006
Toledo,MAC,7-May,4.8 (-0.2),23.10%,-9.6,91,16.2,99,26.2,76,0.4,48,0.96,115,2006
Indiana,Big Ten,7-May,3.7 (-1.3),22.50%,-9.9,92,21.6,76,31.2,98,-0.3,69,0.865,46,2006
New Mexico State,WAC,8-Apr,6.3 (2.3),21.90%,-10.2,93,26.6,46,35.7,114,-1.2,98,0.946,104,2006
Central Florida,C-USA,8-Apr,5.0 (1.0),21.70%,-10.3,94,21.8,74,32.1,106,0,61,0.911,79,2006
Rice,C-USA,6-Jul,4.9 (-2.1),21.30%,-10.5,95,25.1,54,34.4,112,-1.3,100,0.927,90,2006
UAB,C-USA,9-Mar,3.7 (0.7),19.90%,-11.3,96,19.9,84,31.9,103,0.7,39,0.928,92,2006
Troy,Sun Belt,5-Aug,7.1 (-0.9),19.60%,-11.5,97,16,101,27.7,83,0.2,53,0.953,109,2006
Miami-OH,MAC,10-Feb,3.8 (1.8),16.80%,-13,98,16.1,100,27.5,81,-1.6,108,0.967,118,2006
Memphis,C-USA,10-Feb,3.5 (1.5),16.60%,-13.2,99,23.1,70,35.4,113,-0.8,86,0.945,103,2006
San Diego State,MWC,9-Mar,4.1 (1.1),16.50%,-13.2,100,14.1,107,25.6,73,-1.7,110,0.894,66,2006
Middle Tennessee,Sun Belt,6-Jul,6.4 (-0.6),16.00%,-13.5,101,14.8,104,28.1,85,-0.2,68,0.901,72,2006
Stanford,Pac-10,11-Jan,1.6 (0.6),15.00%,-14.1,102,14.8,103,27.6,82,-1.3,104,0.843,24,2006
Bowling Green,MAC,8-Apr,4.0 (0.0),15.00%,-14.1,103,17.2,95,28.7,89,-2.6,117,0.928,94,2006
UNLV,MWC,10-Feb,3.1 (1.1),14.40%,-14.5,104,17.1,96,30.1,93,-1.5,107,0.902,73,2006
UL-Monroe,Sun Belt,8-Apr,5.8 (1.8),13.70%,-15,105,17.4,94,32.5,107,0.2,55,0.944,101,2006
Tulane,C-USA,8-Apr,4.7 (0.7),13.70%,-15,106,18.9,89,32.6,108,-1.3,101,0.9,70,2006
UL-Lafayette,Sun Belt,6-Jun,4.8 (-1.2),8.40%,-19.3,107,11.4,110,30.3,95,-0.3,73,0.928,96,2006
Duke,ACC,0-12,2.2 (2.2),8.10%,-19.5,108,13.8,108,31.6,101,-1.6,109,0.869,51,2006
Florida Atlantic,Sun Belt,7-May,4.6 (-0.4),8.10%,-19.6,109,9.8,115,28.2,86,-1.2,97,0.928,95,2006
Arkansas State,Sun Belt,6-Jun,5.2 (-0.8),6.00%,-21.8,110,11,111,31,97,-1.8,111,0.954,111,2006
Eastern Michigan,MAC,11-Jan,2.3 (1.3),5.90%,-22,111,10.6,113,33.5,109,0.9,36,0.978,119,2006
Louisiana Tech,WAC,10-Mar,3.2 (0.2),5.70%,-22.2,112,18.9,88,39.7,119,-1.3,102,0.908,77,2006
Idaho,WAC,8-Apr,3.6 (-0.4),4.70%,-23.7,113,14.6,106,37.2,115,-1.1,94,0.924,89,2006
Army,Ind,9-Mar,2.0 (-1.0),4.30%,-24.3,114,8.4,116,33.5,110,0.8,38,0.94,99,2006
North Texas,Sun Belt,9-Mar,3.3 (0.3),4.10%,-24.5,115,6.9,118,31.5,100,0.1,58,0.959,114,2006
Florida International,Sun Belt,0-12,2.8 (2.8),1.90%,-29.7,116,-0.5,119,26.5,77,-2.7,118,0.947,105,2006
Buffalo,MAC,10-Feb,2.5 (0.5),1.70%,-30.3,117,10,114,39,117,-1.3,103,0.92,85,2006
Utah State,WAC,11-Jan,0.9 (-0.1),1.30%,-32.1,118,10.6,112,39.7,118,-3,119,0.876,56,2006
Temple,Ind,11-Jan,0.7 (-0.3),1.00%,-33.3,119,7.7,117,38.7,116,-2.3,116,0.901,71,2006
Texas ,Big 12 ,13-0 ,11.9 (-1.1) ,98.90%,35.3,1,47.6,2,12.2,10,,,0.825,7,2005
USC ,Pac-10 ,1-Dec,12.2 (0.2) ,98.80%,34.7,2,51.6,1,16.9,22,,,0.839,15,2005
Ohio State ,Big Ten ,2-Oct,9.9 (-0.1) ,97.80%,31.2,3,42.1,4,10.9,5,,,0.805,1,2005
Penn State ,Big Ten ,1-Nov,10.3 (-0.7) ,97.00%,29.3,4,38.2,14,9,3,,,0.872,31,2005
Miami-FL ,ACC ,3-Sep,10.1 (1.1) ,95.30%,26,5,33,31,7,1,,,0.899,57,2005
Virginia Tech ,ACC ,2-Nov,10.1 (-0.9) ,94.90%,25.5,6,35.6,20,10.1,4,,,0.883,40,2005
Texas Tech ,Big 12 ,3-Sep,9.4 (0.4) ,94.80%,25.4,7,40.8,7,15.4,17,,,0.873,33,2005
Georgia ,SEC ,3-Oct,10.3 (0.3) ,92.20%,22.3,8,36.1,18,13.8,13,,,0.9,59,2005
Notre Dame ,Ind ,3-Sep,8.7 (-0.3) ,91.70%,21.8,9,41.3,6,19.5,33,,,0.837,13,2005
Iowa ,Big Ten ,5-Jul,8.9 (1.9) ,90.80%,20.9,10,38.5,13,17.6,27,,,0.875,34,2005
Auburn ,SEC ,3-Sep,9.8 (0.8) ,90.60%,20.7,11,35.4,21,14.7,16,,,0.896,54,2005
LSU ,SEC ,2-Nov,8.9 (-2.1) ,90.10%,20.3,12,32,35,11.7,8,,,0.867,29,2005
Louisville ,Big East ,3-Sep,9.7 (0.7) ,90.10%,20.3,13,41.5,5,21.2,39,,,0.928,71,2005
Alabama ,SEC ,2-Oct,9.0 (-1.0) ,89.50%,19.8,14,28.1,53,8.3,2,,,0.885,44,2005
Boston College ,ACC ,3-Sep,9.7 (0.7) ,88.80%,19.2,15,30.4,40,11.2,6,,,0.916,67,2005
Oklahoma ,Big 12 ,4-Aug,7.5 (-0.5) ,88.50%,19,16,30.9,39,11.9,9,,,0.843,16,2005
California ,Pac-10 ,4-Aug,8.7 (0.7) ,87.60%,18.4,17,35.8,19,17.5,25,,,0.894,53,2005
Oregon ,Pac-10 ,2-Oct,8.3 (-1.7) ,87.30%,18.1,18,35,24,16.9,21,,,0.863,25,2005
Michigan ,Big Ten ,5-Jul,6.3 (-0.7) ,87.30%,18.1,19,33.9,27,15.8,18,,,0.812,2,2005
Minnesota ,Big Ten ,5-Jul,7.7 (0.7) ,84.00%,15.9,20,40.7,8,24.7,48,,,0.834,8,2005
West Virginia ,Big East ,1-Nov,8.1 (-2.9) ,83.80%,15.8,21,33.3,29,17.6,26,,,0.893,50,2005
Iowa State ,Big 12 ,5-Jul,8.2 (1.2) ,78.70%,13,22,27.7,58,14.7,15,,,0.914,66,2005
Washington State ,Pac-10 ,7-Apr,6.6 (2.6) ,78.70%,13,23,39.6,10,26.6,61,,,0.873,32,2005
Michigan State ,Big Ten ,6-May,5.5 (0.5) ,78.60%,12.9,24,40.1,9,27.2,64,,,0.825,6,2005
Clemson ,ACC ,4-Aug,7.4 (-0.6) ,78.50%,12.9,25,31.1,38,18.2,29,,,0.893,51,2005
Arizona State ,Pac-10 ,5-Jul,6.7 (-0.3) ,77.70%,12.5,26,42.4,3,29.9,80,,,0.865,26,2005
Tennessee ,SEC ,6-May,6.3 (1.3) ,77.30%,12.3,27,23.7,75,11.4,7,,,0.875,35,2005
Purdue ,Big Ten ,6-May,5.9 (0.9) ,76.40%,11.8,28,37.1,15,25.3,52,,,0.85,21,2005
Colorado ,Big 12 ,6-Jul,6.9 (-0.1) ,76.30%,11.7,29,27.8,57,16.1,20,,,0.819,4,2005
Wisconsin ,Big Ten ,3-Oct,7.1 (-2.9) ,74.90%,11.1,30,35.3,22,24.2,46,,,0.867,28,2005
Fresno State ,WAC ,5-Aug,9.5 (1.5) ,73.90%,10.6,31,36.4,17,25.8,57,,,0.919,70,2005
Arkansas ,SEC ,7-Apr,6.3 (2.3) ,73.80%,10.6,32,29,46,18.4,31,,,0.837,12,2005
TCU ,MWC ,1-Nov,8.7 (-2.3) ,73.70%,10.5,33,28.3,52,17.7,28,,,0.945,84,2005
Nebraska ,Big 12 ,4-Aug,6.0 (-2.0) ,73.20%,10.3,34,24.2,73,13.8,12,,,0.877,36,2005
NC State ,ACC ,5-Jul,7.1 (0.1) ,71.20%,9.4,35,22.1,84,12.7,11,,,0.906,60,2005
Maryland ,ACC ,6-May,6.5 (1.5) ,70.10%,9,36,30.3,41,21.4,40,,,0.887,46,2005
UCLA ,Pac-10 ,2-Oct,6.7 (-3.3) ,69.50%,8.7,37,39.2,11,30.5,83,,,0.866,27,2005
Kansas ,Big 12 ,5-Jul,6.8 (-0.2) ,69.00%,8.5,38,22.5,82,14,14,,,0.852,22,2005
Northwestern ,Big Ten ,5-Jul,6.0 (-1.0) ,67.80%,8,39,38.8,12,30.9,84,,,0.82,5,2005
Toledo ,MAC ,3-Sep,9.0 (0.0) ,66.80%,7.6,40,32.7,32,25.1,50,,,0.976,115,2005
Texas A&M ,Big 12 ,6-May,4.9 (-0.1) ,66.30%,7.3,41,36.9,16,29.6,76,,,0.839,14,2005
Utah ,MWC ,5-Jul,7.6 (0.6) ,66.00%,7.2,42,33.6,28,26.4,59,,,0.963,100,2005
Georgia Tech ,ACC ,5-Jul,6.0 (-1.0) ,65.10%,6.9,43,22.7,81,15.8,19,,,0.85,20,2005
Pittsburgh ,Big East ,6-May,6.5 (1.5) ,64.90%,6.8,44,23.9,74,17.1,23,,,0.908,62,2005
Florida ,SEC ,3-Sep,7.7 (-1.3) ,64.70%,6.7,45,26.3,67,19.6,34,,,0.88,39,2005
South Carolina ,SEC ,5-Jul,6.6 (-0.4) ,63.80%,6.3,46,26.3,66,20,36,,,0.883,41,2005
Kansas State ,Big 12 ,6-May,4.4 (-0.6) ,63.30%,6.1,47,25.9,69,19.8,35,,,0.887,45,2005
Northern Illinois ,MAC ,5-Jul,8.1 (1.1) ,62.70%,5.9,48,34.4,25,28.5,71,,,0.959,95,2005
Missouri ,Big 12 ,5-Jul,5.9 (-1.1) ,62.10%,5.7,49,28.9,47,23.2,41,,,0.888,47,2005
Virginia ,ACC ,5-Jul,5.6 (-1.4) ,61.80%,5.6,50,29.2,45,23.6,44,,,0.878,38,2005
Florida State ,ACC ,5-Aug,7.5 (-0.5) ,61.50%,5.4,51,23.7,76,18.2,30,,,0.849,18,2005
Boise State ,WAC ,4-Sep,8.2 (-0.8) ,59.10%,4.5,52,29.5,43,24.9,49,,,0.939,76,2005
Rutgers ,Big East ,5-Jul,8.4 (1.4) ,57.70%,4,53,29.5,42,25.5,54,,,0.933,72,2005
BYU ,MWC ,6-Jun,6.4 (0.4) ,54.60%,2.8,54,35.3,23,32.5,92,,,0.909,64,2005
UTEP ,C-USA ,4-Aug,8.0 (0.0) ,53.50%,2.4,55,31.1,37,28.7,72,,,0.976,116,2005
South Florida ,Big East ,6-Jun,5.8 (-0.2) ,53.30%,2.3,56,22.4,83,20.1,38,,,0.868,30,2005
UAB ,C-USA ,6-May,8.2 (3.2) ,53.30%,2.3,57,33.3,30,31,88,,,0.974,111,2005
Washington ,Pac-10 ,9-Feb,4.0 (2.0) ,52.10%,1.9,58,29.3,44,27.5,67,,,0.836,11,2005
Arizona ,Pac-10 ,8-Mar,3.8 (0.8) ,51.10%,1.5,59,26.9,62,25.4,53,,,0.855,24,2005
Tulsa ,C-USA ,4-Sep,8.3 (-0.7) ,51.10%,1.5,60,27.8,56,26.4,60,,,0.945,83,2005
Oregon State ,Pac-10 ,6-May,5.0 (0.0) ,51.00%,1.5,61,26.6,64,25.2,51,,,0.884,42,2005
Connecticut ,Big East ,6-May,5.1 (0.1) ,50.90%,1.4,62,18.8,94,17.4,24,,,0.934,73,2005
Baylor ,Big 12 ,6-May,5.6 (0.6) ,50.50%,1.2,63,20.2,88,19,32,,,0.849,19,2005
Southern Miss ,C-USA ,5-Jul,6.5 (-0.5) ,50.00%,1.1,64,27.9,55,26.8,62,,,0.955,88,2005
Oklahoma State ,Big 12 ,7-Apr,3.9 (-0.1) ,50.00%,1.1,65,25.4,72,24.3,47,,,0.848,17,2005
Stanford ,Pac-10 ,6-May,4.5 (-0.5) ,48.90%,0.6,66,26.4,65,25.7,55,,,0.835,9,2005
Miami-OH ,MAC ,4-Jul,6.7 (-0.3) ,48.00%,0.3,67,27.6,59,27.3,66,,,0.942,79,2005
New Mexico ,MWC ,5-Jun,5.4 (-0.6) ,47.60%,0.2,68,28,54,27.8,68,,,0.958,89,2005
Bowling Green ,MAC ,5-Jun,6.8 (0.8) ,44.70%,-0.9,69,28.8,48,29.8,78,,,0.97,108,2005
Houston ,C-USA ,6-Jun,8.0 (2.0) ,44.50%,-1,70,28.6,50,29.6,77,,,0.958,91,2005
Navy ,Ind ,4-Aug,7.8 (-0.2) ,41.60%,-2.1,71,32.4,33,34.5,98,,,0.955,87,2005
San Diego State ,MWC ,7-May,5.4 (0.4) ,40.70%,-2.4,72,26.7,63,29.1,74,,,0.919,69,2005
Colorado State ,MWC ,6-Jun,4.9 (-1.1) ,39.60%,-2.9,73,31.4,36,34.3,96,,,0.941,78,2005
Hawaii ,WAC ,7-May,6.4 (1.4) ,39.50%,-2.9,74,34.2,26,37.1,109,,,0.91,65,2005
Memphis ,C-USA ,5-Jul,5.9 (-1.1) ,38.20%,-3.4,75,27.5,60,31,86,,,0.965,105,2005
Air Force ,MWC ,7-Apr,5.4 (1.4) ,38.10%,-3.4,76,32.1,34,35.5,104,,,0.961,97,2005
North Carolina ,ACC ,6-May,3.5 (-1.5) ,37.90%,-3.5,77,19.9,91,23.4,43,,,0.836,10,2005
Vanderbilt ,SEC ,6-May,4.9 (-0.1) ,37.20%,-3.8,78,28.6,49,32.4,91,,,0.907,61,2005
Wake Forest ,ACC ,7-Apr,3.1 (-0.9) ,37.10%,-3.9,79,23.3,79,27.1,63,,,0.885,43,2005
Wyoming ,MWC ,7-Apr,5.6 (1.6) ,36.70%,-4,80,23.3,78,27.3,65,,,0.958,90,2005
Ole Miss ,SEC ,8-Mar,3.6 (0.6) ,36.10%,-4.2,81,15.7,103,20,37,,,0.898,56,2005
East Carolina ,C-USA ,6-May,6.0 (1.0) ,35.20%,-4.6,82,27.3,61,31.9,89,,,0.965,104,2005
Indiana ,Big Ten ,7-Apr,3.9 (-0.1) ,34.90%,-4.7,83,26.2,68,30.9,85,,,0.854,23,2005
Akron ,MAC ,6-Jul,7.2 (0.2) ,32.20%,-5.8,84,19.9,90,25.7,56,,,0.97,109,2005
Louisiana Tech ,WAC ,4-Jul,6.3 (-0.7) ,31.80%,-6,85,23.4,77,29.4,75,,,0.964,102,2005
Nevada ,WAC ,3-Sep,6.7 (-2.3) ,30.60%,-6.5,86,28.4,51,34.9,101,,,0.967,106,2005
Mississippi State ,SEC ,8-Mar,3.7 (0.7) ,29.30%,-7,87,16.7,100,23.7,45,,,0.878,37,2005
Central Michigan ,MAC ,5-Jun,6.2 (0.2) ,27.00%,-8.1,88,22.1,85,30.1,81,,,0.937,75,2005
Illinois ,Big Ten ,9-Feb,2.0 (0.0) ,25.50%,-8.8,89,25.6,71,34.3,97,,,0.817,3,2005
Marshall ,C-USA ,7-Apr,4.1 (0.1) ,24.20%,-9.4,90,18.6,96,27.9,69,,,0.943,80,2005
Cincinnati ,Big East ,7-Apr,3.7 (-0.3) ,23.20%,-9.9,91,18.4,98,28.2,70,,,0.894,52,2005
Syracuse ,Big East ,10-Jan,1.5 (0.5) ,21.40%,-10.7,92,12.6,112,23.4,42,,,0.899,58,2005
Central Florida ,C-USA ,5-Aug,4.0 (-4.0) ,19.60%,-11.7,93,25.8,70,37.5,111,,,0.973,110,2005
Kentucky ,SEC ,8-Mar,2.3 (-0.7) ,18.10%,-12.5,94,21.4,86,33.9,94,,,0.891,49,2005
SMU ,C-USA ,6-May,3.5 (-1.5) ,17.30%,-13,95,16,102,29,73,,,0.96,96,2005
Western Michigan ,MAC ,4-Jul,5.3 (-1.7) ,15.70%,-13.9,96,22.9,80,36.9,108,,,0.975,113,2005
San Jose State ,WAC ,8-Mar,4.2 (1.2) ,14.60%,-14.7,97,18.6,95,33.3,93,,,0.976,114,2005
Middle Tennessee ,Sun Belt ,7-Apr,4.9 (0.9) ,13.70%,-15.3,98,14.6,109,29.9,79,,,0.963,101,2005
UNLV ,MWC ,9-Feb,3.3 (1.3) ,13.60%,-15.3,99,19.8,92,35.1,103,,,0.964,103,2005
Arkansas State ,Sun Belt ,6-Jun,6.2 (0.2) ,13.20%,-15.6,100,18.5,97,34.1,95,,,0.986,119,2005
Army ,Ind ,7-Apr,3.8 (-0.2) ,12.30%,-16.3,101,14.7,108,31,87,,,0.939,77,2005
Tulane ,C-USA ,9-Feb,3.5 (1.5) ,11.10%,-17.1,102,14.8,106,31.9,90,,,0.98,117,2005
Troy ,Sun Belt ,7-Apr,4.5 (0.5) ,11.00%,-17.2,103,8.7,118,26,58,,,0.982,118,2005
UL-Lafayette ,Sun Belt ,5-Jun,4.9 (-1.1) ,10.50%,-17.7,104,20.8,87,38.5,112,,,0.944,82,2005
Ball State ,MAC ,7-Apr,2.4 (-1.6) ,9.50%,-18.5,105,16.3,101,34.8,100,,,0.908,63,2005
Eastern Michigan ,MAC ,7-Apr,4.6 (0.6) ,9.50%,-18.5,106,19,93,37.5,110,,,0.959,94,2005
Kent State ,MAC ,10-Jan,2.6 (1.6) ,9.00%,-19,107,11.4,115,30.3,82,,,0.97,107,2005
Duke ,ACC ,10-Jan,1.3 (0.3) ,7.70%,-20.2,108,14.7,107,35,102,,,0.891,48,2005
Ohio ,MAC ,7-Apr,3.0 (-1.0) ,7.20%,-20.8,109,15.1,105,35.8,106,,,0.935,74,2005
Rice ,C-USA ,10-Jan,1.4 (0.4) ,6.40%,-21.6,110,20,89,41.7,118,,,0.917,68,2005
UL-Monroe ,Sun Belt ,6-May,4.8 (-0.2) ,5.60%,-22.6,111,17.3,99,40,116,,,0.959,93,2005
Florida International ,Sun Belt ,6-May,5.0 (0.0) ,5.00%,-23.5,112,15.3,104,38.7,113,,,0.959,92,2005
Utah State ,WAC ,8-Mar,1.9 (-1.1) ,4.70%,-23.9,113,12.5,113,36.5,107,,,0.948,86,2005
Florida Atlantic ,Sun Belt ,9-Feb,2.8 (0.8) ,4.10%,-24.9,114,9.8,116,34.6,99,,,0.946,85,2005
Idaho ,WAC ,9-Feb,2.5 (0.5) ,4.00%,-25,115,14.2,110,39.2,115,,,0.961,98,2005
Buffalo ,MAC ,10-Jan,1.3 (0.3) ,2.30%,-28.6,116,7.2,119,35.8,105,,,0.974,112,2005
Temple ,Ind ,0-11 ,0.9 (0.9) ,2.20%,-29.1,117,12.1,114,41.2,117,,,0.897,55,2005
North Texas ,Sun Belt ,9-Feb,1.4 (-0.6) ,2.10%,-29.2,118,9.6,117,38.9,114,,,0.963,99,2005
New Mexico State ,WAC ,0-12 ,0.7 (0.7) ,2.10%,-29.2,119,12.8,111,42,119,,,0.944,81,2005
